"Date","investment_tv","investment_radio","investment_press","investment_banners","investment_online","stores_opened","economy_index","investment_competition","public_holidays","brand_knowledge","christmas_dummy","weather_index","investment_competition_1","investment_competition_2","precipitation_index","competitor_recognition_1","competitor_recognition_2","YearWeek","sales"
2019-08-04,0,0,0,0,509050.611314295,142,26413.4,1691452,0,0.745444876,0,51.80428571,11944215.42,3215426.039,28.38571429,0.492282193,0.46502248,201932,43245963.1614306
2019-08-11,719993.249398135,0,0,0,605619.131677045,142,26427,1071939,0,0.806484296,0,55.21714286,9238331.337,14426395.07,26.74285714,0.467140593,0.384866454,201933,43007889.5084491
2019-08-18,620988.119905311,0,0,0,593397.512090074,142,26388.8,116160,0,0.695401157,0,52.09714286,3054530.004,17394845.43,24.8,0.524120053,0.454751672,201934,44902627.7805614
2019-08-25,911306.074936423,0,0,0,629059.859980827,142,26514.6,2305.552634,0,0.705154288,0,47.66571429,4012838.727,13582995.52,42.08571429,0.498236925,0.470348501,201935,46251519.2961077
2019-09-01,1234314.77365549,0,0,0,695777.337853316,142,26860.9,16138.86844,0,0.726148629,0,58.61857143,19340312.61,4178278.668,27.22857143,0.448123549,0.416628468,201936,44892894.9560269
2019-09-08,1059859.39734625,0,0,0,906079.597072205,142,27306.7,512509.4091,0,0.758402343,0,48.86571429,16128449.94,3247195.259,17.27142857,0.508570659,0.498222951,201937,48196428.593645
2019-09-15,1156686.57062304,0,57115.9475383495,0,811756.731193943,142,27272.2,920509.4091,0,0.781678988,0,53.94857143,16097232.09,23181513.29,4.157142857,0.547626807,0.515902367,201938,46366594.6197833
2019-09-22,1231744.98932458,0,0,0,710193.436969166,142,27079.7,1323071.369,1,0.766937975,0,57.49714286,11390630.01,24079103.43,12.28571429,0.494506189,0.510574753,201939,45456493.1769026
2019-09-29,0,0,0,0,626507.943802457,142,27046.2,741005.9393,0,0.774939867,0,68.92,8408278.945,22480715.17,26.64285714,0.503574994,0.490407511,201940,44873697.9590525
2019-10-06,0,0,50576.7619680752,0,748571.05612765,142,27014,321465.7538,0,0.774126754,0,61.82857143,4667850.273,19153259.84,17.4,0.512204762,0.521461944,201941,45085447.1596954
2019-10-13,0,23371.6392855129,0,0,834123.757064902,142,27120.1,1674778.534,0,0.839762355,0,51.18142857,15896533.58,19490559.34,4.014285714,0.519619287,0.503643641,201942,47366098.8966891
2019-10-20,0,19854.5132023927,28999.0426229677,0,663960.703131208,142,27015.4,468365.3622,0,0.752232586,0,47.44428571,16617276.46,7900934.881,2.985714286,0.442424507,0.532839512,201943,48167591.9811417
2019-10-27,0,0,0,18683.312004382,638327.604118671,142,27347.4,2496697.67,1,0.772245032,0,65.99714286,19507798.29,19807885.42,6.714285714,0.467361439,0.509904067,201944,46325373.3645431
2019-11-03,0,0,725726.306921278,48061.9319629438,885524.668049406,142,27774.7,4708613.251,0,0.726002897,0,65.69857143,16891644.21,19525494.22,15.38571429,0.518189354,0.481214921,201945,47505745.7688574
2019-11-10,0,0,357216.691840877,49755.9537222644,1217559.10429093,142,28004.9,4455255.929,1,0.819741916,0,67.78,16219976.54,16368831.63,17.95714286,0.476565061,0.534585998,201946,46037543.0563349
2019-11-17,0,0,0,46592.1206389956,1304332.28991191,142,28090.2,3983356.648,0,0.78651832,0,61.28142857,15994437.96,16435851.27,10.77142857,0.402211936,0.402228864,201947,48817472.5229556
2019-11-24,0,0,0,26600.563498918,2018774.04995285,142,28175,17469024.98,0,0.709502715,0,65.96571429,8383346.483,22385049.65,19.1,0.552689381,0.471849232,201948,46103942.7991004
2019-12-01,0,0,0,0,995459.89926486,142,28109.8,12131550.24,0,0.778967386,0,67.60714286,3788887.598,28046114.92,11.24285714,0.50124641,0.500979126,201949,45870001.084703
2019-12-08,0,0,0,0,1652220.27895929,142,28290.7,20624785.51,0,0.721600114,0,71.28142857,5688529.991,27570241.08,13.07142857,0.493944254,0.444787269,201950,45481628.5117528
2019-12-15,0,0,0,0,994625.997313161,142,28608.6,20449414.88,0,0.795736397,0,63.04285714,4501809.765,28072433.02,11.05714286,0.524341534,0.50500369,201951,45182536.7534774
2019-12-22,1421815.69376929,0,0,0,703573.456058362,142,28701.7,11604843.1,3,0.711990035,1,73.66857143,1067903.548,22751932.87,23.22857143,0.523796282,0.505997175,201952,37795050.2727968
